,,2,3,4,5,6,7,8,9,10,15,20,25,30,35,40,45,50
10,,0.394660309,0.563975134,0.471406583,0.575687054,0.60465716,0.498207896,0.501830594,0.646182645,,,,,,,,,
12,,0.423829461,0.498182605,0.454504447,0.526645553,0.521144054,0.590987249,0.554621747,0.547958868,0.509043079,,,,,,,,
14,,0.420045728,0.533718507,0.484005082,0.67105259,0.527329352,0.538056324,0.493352883,0.481061117,0.544924783,,,,,,,,
16,,0.43257114,0.486983255,0.526340184,0.565379517,0.660525389,0.707301687,0.499660755,0.700093407,0.548116064,0.62033509,,,,,,,
18,,0.420141788,0.489777045,0.625808343,0.626263216,0.727743814,0.590515659,0.48103515,0.633980441,0.700558523,0.657648274,,,,,,,
20,,0.493089745,0.508210394,0.569844174,0.659688096,0.658110274,0.581622915,0.590528351,0.598142354,0.605632122,0.643592664,,,,,,,
20,,0.493089745,0.508210394,0.569844174,0.659688096,0.658110274,0.581622915,0.590528351,0.598142354,0.605632122,0.643592664,,,,,,,
30,,0.490512496,0.713496534,0.580184203,0.606835892,0.556588175,0.591516342,0.641520913,0.570403684,0.647001126,0.701892928,0.61207737,0.545146627,,,,,
40,,0.600320951,0.658472176,0.692113532,0.683478549,0.64730281,0.613639685,0.634447635,0.637457622,0.595391599,0.611844897,0.471987723,0.450576356,0.641616869,0.621212476,,,
50,,0.544565819,0.515965277,0.584957754,0.556097596,0.60216271,0.618267902,0.649436891,0.762731348,0.573388617,0.508703351,0.634514128,0.623577776,0.548798136,0.660737795,0.649143422,0.641688341,
60,,0.505024617,0.515215872,0.544176859,0.553984523,0.668594128,0.687486411,0.732963281,0.718006415,0.55892613,0.554114158,0.651461895,0.73228369,0.661733813,0.73476409,0.742547525,0.626145011,0.685870345
70,,0.543466429,0.697307885,0.60121848,0.552149236,0.700098418,0.674689836,0.631416022,0.541246093,0.701337336,0.6329038,0.682608493,0.675777851,0.706793474,0.672403808,0.629468758,0.690826551,0.716788786
80,,0.666485195,0.679268042,0.602437322,0.694678565,0.743770693,0.628522865,0.665041599,0.663848757,0.610824955,0.666574758,0.610752097,0.560461331,0.590992404,0.672182249,0.636551716,0.669042857,0.721868156
90,,0.597897216,0.642234794,0.685631021,0.57918248,0.720990195,0.709605234,0.602819894,0.631313937,0.656254085,0.520332465,0.620720354,0.533084942,0.695262771,0.592416156,0.640970672,0.589870746,0.817248056
100,,0.71557755,0.771474872,0.652112948,0.61948429,0.693284713,0.753484506,0.754189997,0.670830656,0.732155671,0.652192351,0.713810063,0.641747646,0.618790234,0.589276562,0.593500306,0.662642619,0.673607154
